benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	214520783712	322346258000	5201502000
Etcdctl	LLGoFullLTONoGlobalDCE	214702589642	311527222000	4565092000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	210435435860	310264512000	4799988000
Aws_restjson	LLGoFullLTONoGlobalDCE	137085457295	226529832000	4588032000
Etcdctl	LLGoDeadcodeDrop	60845569559	196272913000	3940952000
XGo	LLGoFullLTONoGlobalDCE	141920971540	186269658000	3601364000
XGo	LLGoFullLTOGlobalDCE	136867387642	185741217000	3808491000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	101806472623	182902006000	4979458000
XGo	LLGoFullLTOGlobalDCEPlugin	134193771859	179704072000	3624834000
Uber_zap	LLGoDeadcodeDrop	54770388966	173897341000	3795973000
Uber_zap	LLGoFullLTOGlobalDCE	90709563153	160744603000	3906822000
Aws_restjson	LLGoFullLTOGlobalDCE	102478427974	131987403000	2872844000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100214805449	128373600000	2883265000
Uber_zap	LLGoFullLTONoGlobalDCE	89150661418	108178399000	2711094000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	80700771916	96303074000	2767723000
K8s_workqueue	LLGoFullLTOGlobalDCE	79498594011	94259685000	2660034000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79839206857	94091374000	2668720000
Etcdctl	LLGoNoLTO	28420469568	79654853000	3342474000
Gorm_schema	LLGoFullLTONoGlobalDCE	51592111628	66211817000	1768250000
Gorm_schema	LLGoFullLTOGlobalDCE	50068384657	64762877000	1710336000
Aws_restjson	LLGoNoLTO	26531881109	63293730000	2484136000
Aws_restjson	LLGoDeadcodeDrop	28445211659	62317855000	2674452000
XGo	LLGoDeadcodeDrop	22759726493	59779580000	2741634000
XGo	LLGoNoLTO	21812957251	58277694000	2716961000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38057854770	52474517000	1725840000
Toml	LLGoFullLTONoGlobalDCE	43834472517	52134349000	1524296000
Toml	LLGoFullLTOGlobalDCEPlugin	35395151740	44292521000	1551521000
Toml	LLGoFullLTOGlobalDCE	35108966120	43813360000	1456182000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35665583980	40882531000	1352185000
Gorm_schema	LLGoDeadcodeDrop	12987630128	37984507000	1761900000
Dustin_humanize	LLGoFullLTOGlobalDCE	26585114117	31935389000	1353386000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25876390316	31484295000	1370230000
Etcdctl	Go	9778465819	29638540000	1888561000
K8s_workqueue	LLGoNoLTO	9916427837	25988310000	2147813000
K8s_workqueue	LLGoDeadcodeDrop	10015295043	25977133000	2091157000
Uber_zap	LLGoNoLTO	9430256296	23617279000	2123112000
Toml	LLGoDeadcodeDrop	7646345979	19083392000	1403230000
XGo	Go	4765598444	14618553000	883003000
Gorm_schema	LLGoNoLTO	5691691023	13586077000	1431768000
Toml	LLGoNoLTO	4887028415	11335147000	1265175000
Dustin_humanize	LLGoDeadcodeDrop	4910202074	10347191000	1254661000
Dustin_humanize	LLGoNoLTO	4231644939	9503779000	1223186000
Aws_restjson	Go	1870705332	4426471000	431749000
Gorm_schema	Go	1460042476	3171853000	202690000
Uber_zap	Go	1316404188	2777521000	222417000
K8s_workqueue	Go	816958269	1572776000	199720000
Dustin_humanize	Go	381824269	633178000	150099000
Toml	Go	307292843	425774000	121611000
